Dex,Pokemon,Primary Type,Secondary Type,Level,Rarity,Sky,Light,Time,Weather,Biomes (Wiki),Anti-Biomes (Wiki),Structures,Anti-Structures,Base Blocks,Nearby Blocks,Moon Phase (Wiki),Anti-Moon Phase (Wiki),Presets,Gen #,Labels,Egg Groups,Spawn Weight,Context,Spawn ID,Species Archive,Spawn Directory,Species Directory
#0142,Aerodactyl,Rock,Flying,27-52,Ultra-Rare,Any,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 1,,Flying,10,Grounded,aerodactyl-1,generation1/aerodactyl.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0306,Aggron,Steel,Rock,42-53,Common,Any,Any,Any,Any,Mountain,Deep Dark,,,,Iron Ore,,,"Natural, Wild",Gen 3,,Monster,0.1,Grounded,aggron-1,generation3/aggron.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0306,Aggron,Steel,Rock,42-53,Uncommon,Any,0 - 7,Any,Any,Overworld,Deep Dark,,,,Iron Ore,,,Natural,Gen 3,,Monster,0.1,Grounded,aggron-2,generation3/aggron.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0190,Aipom,Normal,-----,11-36,Common,Any,8 - 15,Any,Any,"Jungle, Tropical Island",,,,,,,,"Natural, Treetop",Gen 2,,Field,5.4,Grounded,aipom-1,generation2/aipom.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0065,Alakazam,Psychic,-----,35-50,Rare,Any,8 - 15,Night,Any,"Hills, Temperate",Magical,,,,,,,Natural,Gen 1,,Human_Like,0.1,Grounded,alakazam-1,generation1/alakazam.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0065,Alakazam,Psychic,-----,35-50,Uncommon,Any,8 - 15,Night,Any,Magical,,,,,,,,Natural,Gen 1,,Human_Like,0.1,Grounded,alakazam-2,generation1/alakazam.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0065,Alakazam,Psychic,-----,35-50,Common,CANNOT SEE,Any,Any,Any,Overworld,,,,,,,,Mansion,Gen 1,,Human_Like,0.02,Grounded,alakazam-3,generation1/alakazam.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0869,Alcremie,Fairy,-----,22-50,Common,Any,Any,Any,Any,Overworld,,,,,Cake,,,,Gen 8,,"Fairy, Amorphous",1,Grounded,alcremie-1,generation8/alcremie.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0869,Alcremie,Fairy,-----,22-50,Uncommon,Any,Any,Any,Any,Overworld,,,,,Sugar Cane,,,,Gen 8,,"Fairy, Amorphous",0.2,Grounded,alcremie-2,generation8/alcremie.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0869,Alcremie,Fairy,-----,22-50,Common,CANNOT SEE,Any,Any,Any,Overworld,,,,,"Light Grey Carpet, Magenta Carpet, White Carpet",,,Mansion,Gen 8,,"Fairy, Amorphous",0.2,Grounded,alcremie-3,generation8/alcremie.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0594,Alomomola,Water,-----,22-47,Uncommon,MUST SEE,Any,Any,Any,Deep Ocean,Frozen Ocean,,,,,,,Underwater,Gen 5,,"Water_1, Water_2",10,Submerged,alomomola-1,generation5/alomomola.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0334,Altaria,Dragon,Flying,35-48,Uncommon,MUST SEE,Any,Any,Any,Mountain,,,,,,,,Natural,Gen 3,,"Flying, Dragon",2,Grounded,altaria-1,generation3/altaria.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0698,Amaura,Rock,Ice,11-36,Ultra-Rare,Any,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 6,,Monster,9,Grounded,amaura-1,generation6/amaura.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0424,Ambipom,Normal,-----,32-48,Common,Any,8 - 15,Any,Any,"Jungle, Tropical Island",,,,,,,,"Natural, Treetop",Gen 4,,Field,0.6,Grounded,ambipom-1,generation4/ambipom.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0591,Amoonguss,Grass,Poison,35-48,Uncommon,MUST SEE,Any,Any,Any,Mushroom,,,,,,,,,Gen 5,,Grass,4.8,Grounded,amoonguss-1,generation5/amoonguss.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0181,Ampharos,Electric,-----,30-51,Common,Any,8 - 15,Any,Any,"Highlands, Plains",,,,,,,,Natural,Gen 2,,"Monster, Field",0.1,Grounded,ampharos-1,generation2/ampharos.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0979,Annihilape,Fighting,Ghost,35-54,Common,Any,8 - 15,Any,Any,"Hills, Jungle",,,,,,,,"Natural, Treetop",Gen 9,,Field,0.06,Grounded,annihilape-1,generation9/annihilape.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0347,Anorith,Rock,Bug,11-36,Ultra-Rare,Any,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 3,,Water_3,9,Grounded,anorith-1,generation3/anorith.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0347,Anorith,Rock,Bug,11-36,Ultra-Rare,Any,0 - 7,Any,Any,Lush,,,,,,,,Underwater,Gen 3,,Water_3,9,Submerged,anorith-2,generation3/anorith.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0840,Applin,Grass,Dragon,15-20,Rare,MUST SEE,Any,Any,Any,Forest,,,,,,,,,Gen 8,,"Grass, Dragon",6.8,Grounded,applin-1,generation8/applin.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0752,Araquanid,Water,Bug,22-45,Common,MUST SEE,Any,Any,Any,"Swamp, Coast, Island",,,,,,,,,Gen 7,,"Water_1, Bug",0.4,Grounded,araquanid-1,generation7/araquanid.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0752,Araquanid,Water,Bug,22-45,Common,MUST SEE,Any,Any,Any,"River, Freshwater",,,,,,,,"Freshwater, Underwater",Gen 7,,"Water_1, Bug",0.4,Submerged,araquanid-2,generation7/araquanid.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0024,Arbok (Attack Pattern),Poison,-----,22-45,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-attack-1,generation1/arbok.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0024,Arbok (Classic Pattern),Poison,-----,22-45,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.45,Grounded,arbok-classic-1,generation1/arbok.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0024,Arbok (Dark Pattern),Poison,-----,22-45,Common,Any,Any,Any,Any,Nether: Desert,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.6,Grounded,arbok-dark-2,generation1/arbok.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0024,Arbok (Elusive Pattern),Poison,-----,22-45,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-elusive-1,generation1/arbok.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0024,Arbok (Legacy Pattern),Poison,-----,22-45,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-legacy-1,generation1/arbok.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0024,Arbok (Sound Pattern),Poison,-----,22-45,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-sound-1,generation1/arbok.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0024,Arbok (Speed Pattern),Poison,-----,22-45,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.03,Grounded,arbok-speed-1,generation1/arbok.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0059,Arcanine,Fire,-----,30-56,Common,Any,8 - 15,Any,Any,Overworld,Desert,,,,,,,"Natural, Urban",Gen 1,Kanto Regional,Field,0.6,Grounded,arcanine-1,generation1/arcanine.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0059,Arcanine,Fire,-----,30-56,Common,Any,8 - 15,Any,Any,Overworld,Desert,,,,,,,"Natural, Village",Gen 1,Kanto Regional,Field,0.6,Grounded,arcanine-2,generation1/arcanine.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0566,Archen,Rock,Flying,15-40,Ultra-Rare,Any,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 5,,"Flying, Water_3",9,Grounded,archen-1,generation5/archen.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0567,Archeops,Rock,Flying,37-57,Ultra-Rare,Any,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 5,,"Flying, Water_3",1,Grounded,archeops-1,generation5/archeops.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0997,Arctibax,Dragon,Ice,38-57,Rare,MUST SEE,Any,Any,Any,Glacial,,,,,,,,Natural,Gen 9,,"Dragon, Mineral",2.5,Grounded,arctibax-1,generation9/arctibax.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0168,Ariados,Bug,Poison,22-40,Common,Any,8 - 15,Night,Clear,"Forest, Jungle, Spooky",Freezing,,,,,,,"Natural, Treetop",Gen 2,,Bug,0.6,Grounded,ariados-1,generation2/ariados.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0168,Ariados,Bug,Poison,22-40,Common,Any,0 - 7,Any,Any,Overworld,Deep Dark,,,,,,,Natural,Gen 2,,Bug,0.2,Grounded,ariados-2,generation2/ariados.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0168,Ariados,Bug,Poison,22-40,Common,CANNOT SEE,Any,Any,Any,Overworld,Deep Dark,,,,,,,Derelict,Gen 2,,Bug,0.6,Grounded,ariados-3,generation2/ariados.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0168,Ariados,Bug,Poison,22-40,Common,Any,0 - 7,Any,Any,,,,,,,,,"Webs, Natural",Gen 2,,Bug,1,Grounded,ariados-4,generation2/ariados.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0168,Ariados,Bug,Poison,22-40,Common,CANNOT SEE,Any,Any,Any,Overworld,,,,,Cobweb,,,Mansion,Gen 2,,Bug,1,Grounded,ariados-5,generation2/ariados.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0348,Armaldo,Rock,Bug,40-50,Ultra-Rare,Any,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 3,,Water_3,1,Grounded,armaldo-1,generation3/armaldo.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0348,Armaldo,Rock,Bug,40-50,Ultra-Rare,Any,0 - 7,Any,Any,Lush,,,,,,,,Underwater,Gen 3,,Water_3,1,Submerged,armaldo-2,generation3/armaldo.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0936,Armarouge,Fire,Psychic,21-53,Common,Any,Any,Any,Any,Nether,,,,,,,,"Natural, Nether_Structures",Gen 9,,Human_Like,5,Grounded,armarouge-1,generation9/armarouge.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0936,Armarouge,Fire,Psychic,21-53,Uncommon,Any,Any,Any,Any,Overworld,,,,,,,,Ruined_Portal,Gen 9,,Human_Like,1,Grounded,armarouge-2,generation9/armarouge.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0304,Aron,Steel,Rock,8-33,Common,Any,Any,Any,Any,Mountain,Deep Dark,,,,Iron Ore,,,"Natural, Wild",Gen 3,,Monster,9,Grounded,aron-1,generation3/aron.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0304,Aron,Steel,Rock,8-33,Uncommon,Any,0 - 7,Any,Any,Overworld,Deep Dark,,,,Iron Ore,,,Natural,Gen 3,,Monster,9,Grounded,aron-2,generation3/aron.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0846,Arrokuda,Water,-----,3-28,Common,MUST SEE,Any,Any,Any,"Ocean, Mangrove Swamp",Freezing,,,,,,,Underwater,Gen 8,,Water_2,1.8,Submerged,arrokuda-1,generation8/arrokuda.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0144,Articuno,Ice,Flying,50-70,Ultra-Rare,MUST SEE,Any,Any,Rain,Glacial,,,,,,,,Natural,Gen 1,"Legendary, Kanto Regional",Undiscovered,1,Grounded,articuno,generation1/articuno.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0144,Articuno Galarian,Psychic,Flying,50-70,Ultra-Rare,MUST SEE,Any,Any,Any,Floral,,,,,,,,Natural,Gen 1,"Legendary, Kanto Regional",Undiscovered,1,Grounded,articuno-galarian,generation1/articuno.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0699,Aurorus,Rock,Ice,39-52,Ultra-Rare,Any,0 - 7,Any,Any,Lush,,,,,,,,Natural,Gen 6,,Monster,1,Grounded,aurorus-1,generation6/aurorus.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0713,Avalugg,Ice,-----,37-51,Common,Any,8 - 15,Any,Any,Frozen Ocean,,,,,,,,Natural,Gen 6,Kalos Regional,"Monster, Mineral",1,Grounded,avalugg-1,generation6/avalugg.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0713,Avalugg,Ice,-----,37-51,Common,Any,8 - 15,Any,Any,Frozen Ocean,,,,,,,,Water_Surface,Gen 6,Kalos Regional,"Monster, Mineral",1,Surface,avalugg-2,generation6/avalugg.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0713,Avalugg,Ice,-----,37-51,Common,Any,Any,Any,Any,Nether: Frozen,,,,,,,,Natural,Gen 6,Kalos Regional,"Monster, Mineral",1,Grounded,avalugg-3,generation6/avalugg.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0610,Axew,Dragon,-----,10-29,Rare,MUST SEE,Any,Any,Any,"Mountain, Highlands",,,,,,,,,Gen 5,,"Monster, Dragon",3,Grounded,axew-1,generation5/axew.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0482,Azelf,Psychic,-----,50-70,Ultra-Rare,MUST SEE,Any,Any,Any,River,,,,,,,,Natural,Gen 4,Legendary,Undiscovered,1,Grounded,azelf-1,generation4/azelf.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0184,Azumarill,Water,Fairy,20-35,Uncommon,MUST SEE,Any,Any,Any,River,,,,,,,,,Gen 2,,"Water_1, Fairy",2.5,Grounded,azumarill-1,generation2/azumarill.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0298,Azurill,Normal,Fairy,8-15,Uncommon,MUST SEE,Any,Any,Any,River,,,,,,,,,Gen 3,Baby,Undiscovered,3.8,Grounded,azurill-1,generation3/azurill.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0343,Baltoy,Ground,Psychic,5-30,Uncommon,Any,0 - 7,Any,Any,Sandy,Deep Dark,,,,,,,Natural,Gen 3,,Mineral,5.4,Grounded,baltoy-1,generation3/baltoy.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0343,Baltoy,Ground,Psychic,5-30,Common,CANNOT SEE,Any,Any,Any,Overworld,,,,,,,,"Natural, Desert_Pyramid",Gen 3,,Mineral,54,Grounded,baltoy-2,generation3/baltoy.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0343,Baltoy,Ground,Psychic,5-30,Common,Any,Any,Any,Any,Howling Constructs,,,Sempiternal Sanctums,,,,,,Gen 3,,Mineral,5.4,Grounded,baltoy-3,generation3/baltoy.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0354,Banette,Ghost,-----,37-45,Common,CANNOT SEE,Any,Any,Any,Deep Dark,,,,,,,,,Gen 3,,Amorphous,2,Grounded,banette-1,generation3/banette.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0354,Banette,Ghost,-----,37-45,Rare,Any,Any,Night,Any,Overworld,,,,,,,,Natural,Gen 3,,Amorphous,1,Grounded,banette-2,generation3/banette.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0339,Barboach,Water,Ground,4-29,Common,MUST SEE,Any,Any,Any,Swamp,,,,,,,,Underwater,Gen 3,,Water_2,9,Submerged,barboach-1,generation3/barboach.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0847,Barraskewda,Water,-----,26-49,Common,MUST SEE,Any,Any,Any,"Ocean, Mangrove Swamp",Freezing,,,,,,,Underwater,Gen 8,,Water_2,0.2,Submerged,barraskewda-1,generation8/barraskewda.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0902,Basculegion,Water,Ghost,41-53,Uncommon,MUST SEE,Any,Any,Any,,,,,,,"Full Moon, New Moon",,"Freshwater, Underwater",Gen 8,,Water_2,0.01,Submerged,basculegion-1,generation8/basculegion.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0550,Basculin (Blue),Water,-----,21-46,Common,MUST SEE,Any,Any,Any,,,,,,,"Waning Gibbous, Last Quarter, Waning Crescent",,"Freshwater, Underwater",Gen 5,,Water_2,10,Submerged,basculin-blue-1,generation5/basculin.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0550,Basculin (Blue),Water,-----,21-46,Uncommon,MUST SEE,Any,Any,Any,,,,,,,"Waxing Crescent, First Quarter, Waxing Gibbous",,"Freshwater, Underwater",Gen 5,,Water_2,0.1,Submerged,basculin-blue-2,generation5/basculin.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0550,Basculin (Blue),Water,-----,21-46,Common,MUST SEE,Any,Any,Any,,,,,,,"Full Moon, New Moon",,"Freshwater, Underwater",Gen 5,,Water_2,5,Submerged,basculin-blue-3,generation5/basculin.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0550,Basculin (Red),Water,-----,21-46,Common,MUST SEE,Any,Any,Any,,,,,,,"Waxing Crescent, First Quarter, Waxing Gibbous",,"Freshwater, Underwater",Gen 5,,Water_2,10,Submerged,basculin-red-4,generation5/basculin.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0550,Basculin (Red),Water,-----,21-46,Uncommon,MUST SEE,Any,Any,Any,,,,,,,"Waning Gibbous, Last Quarter, Waning Crescent",,"Freshwater, Underwater",Gen 5,,Water_2,0.1,Submerged,basculin-red-5,generation5/basculin.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0550,Basculin (Red),Water,-----,21-46,Common,MUST SEE,Any,Any,Any,,,,,,,"Full Moon, New Moon",,"Freshwater, Underwater",Gen 5,,Water_2,5,Submerged,basculin-red-6,generation5/basculin.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0550,Basculin (White),Water,-----,21-46,Uncommon,MUST SEE,Any,Any,Any,,,,,,,"Full Moon, New Moon",,"Freshwater, Underwater",Gen 5,,Water_2,0.09,Submerged,basculin-white-7,generation5/basculin.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0411,Bastiodon,Rock,Steel,30-50,Ultra-Rare,Any,8 - 15,Any,Any,Lush,,,,,,,,Natural,Gen 4,,Monster,1,Grounded,bastiodon-1,generation4/bastiodon.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0998,Baxcalibur,Dragon,Ice,58-67,Rare,MUST SEE,Any,Any,Any,Glacial,,,,,,,,Natural,Gen 9,Pseudo Legendary,"Dragon, Mineral",1,Grounded,baxcalibur-1,generation9/baxcalibur.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0153,Bayleef,Grass,-----,16-41,Ultra-Rare,Any,8 - 15,Any,Any,Floral,,,,,,,,Natural,Gen 2,,"Monster, Grass",0.9,Grounded,bayleef-1,generation2/bayleef.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0153,Bayleef,Grass,-----,16-41,Ultra-Rare,Any,8 - 15,Any,Any,Floral Meadow,,,Sempiternal Sanctums,,,,,,Gen 2,,"Monster, Grass",0.9,Grounded,bayleef-2,generation2/bayleef.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0614,Beartic,Ice,-----,37-51,Common,Any,8 - 15,Any,Any,Frozen Ocean,,,,,,,,"Natural, Wild",Gen 5,,Field,0.2,Grounded,beartic-1,generation5/beartic.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0015,Beedrill,Bug,Poison,10-40,Common,Any,8 - 15,Day,Clear,"Forest, Jungle",Freezing,,,,,,,Natural,Gen 1,,Bug,1,Grounded,beedrill-1,generation1/beedrill.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0015,Beedrill,Bug,Poison,10-40,Common,Any,Any,Any,Any,The Bumblezone,,,Sempiternal Sanctums,,,,,,Gen 1,,Bug,5,Grounded,beedrill-2,generation1/beedrill.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
